Movie,Scene,Character,Dialogue
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,COURTNEY,am i confused or were we talking about tonight? ummm.... yeah. luis is calling me tonight. i need to be home for that. pumpkin? yes?
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,BATEMAN,pumpkin you're dating an asshole. uh huh.
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,BATEMAN,"pumpkin you're dating the biggest dickweed in new york. i know. stop it. pumpkin, you'redating a tumbling, tumbling dickweed. patrick don't call me pumpkin anymore, okay? i have to go. courtney? dinner? i can't."
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,COURTNEY,i'm thinking dorsia. dorsia's nice. nice?
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,COURTNEY,"you like it there, don't you? the question is, do you like it courtney? and will you blow off a fucking phone call from your sad excuse for a boyfriend to eat there tonight. okay. yeah. what time? eight?"
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,MAITRE D,"pick me up? sounds like i'll have to. don't fall asleep, okay? wear something fabulous. dorsia, remember? bateman hangs up, opens up the zagat's guide and dials the number for dorsia with trembling fingers. it's busy and so he puts it on speaker phone, constant redial. he waits with his head in his hands, sweating with anxiety, until there is finally' an answer. dorsia. please hold. he is on hold for a long time, getting very tense. dorsia."
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,BATEMAN,umm..yes.. i know it's a little late but is it possible to reserve a table for two at eight or eightthirty perhaps? long pause. the maitre d' starts giggling quietly and then more loudly until the laughter is almost hysterical and hangs up the phone.
AMERICAN_PSYCHO,INT. TAXI - NIGHT,COURTNEY,"... a facial at elisabeth arden, which was really relaxing, then to the pottery barn where i bought this silver muffin dish... is that donald trump's car? oh god, patrick. shut up. you know, courtney, you should take some more lithium. or have a diet coke. some caffeine might get you out of this slump. i just want to have a child. just...two... perfect.. children... the cab draws up outside a restaurant. the awning reads 'barcadia'. an insanely expensive nouvelle italian restaurant, all polished natural brick, spotless white table cloths, minimalist flower arrangements, discreet lighting. a waiter has come to take their drink orders. jb. straight. champagne on the rocks. oh could i have that with a twist? she starts to sink back in her chair and bateman leans over and pulls her back up. are we here?"
AMERICAN_PSYCHO,INT. TAXI - NIGHT,COURTNEY,"this is dorsia? yes dear. courtney almost falls asleep while looking at her menu, and starts to slide off of her chair. bateman grabs her by both shoulders and props her up. courtney, you're going to have the peanut butter soup with smoked duck and mashed squash. ny magazine called it a ""playful but mysterious little dish."" you'll love it. and then... the red snapper with violets and pine nuts. i think that'll follow nicely. mmmm... thanks, patrick. she falls asleep at the table."
AMERICAN_PSYCHO,INT. COURTNEY'S BEDROOM - NIGHT,BATEMAN,"i want you to fuck me. bateman gets on top of her, starts to fuck her. luis is a despicable twit. yes, luis is a despicable twit. i hate him. he keeps fucking her."
AMERICAN_PSYCHO,INT. COURTNEY'S BEDROOM - NIGHT,BATEMAN,"no, you idiot. i said 'is it a receptacle tip?' not is luis a despicable twit. is it a receptacle tip? get off me. is it a what? pull out."
AMERICAN_PSYCHO,INT. COURTNEY'S BEDROOM - NIGHT,COURTNEY,"i'm ignoring you. pull out goddamnit! what do you want, courtney? she pushes him away from her. it's a plain end. i think. turn the light on. she tries to sit up. oh jesus. i'm going home. patrick. turn oh the light. he turns on the light. it's a plain end, see? so? take it off. why?"
AMERICAN_PSYCHO,INT. COURTNEY'S BEDROOM - NIGHT,COURTNEY,"i'm getting out of here. where's your lithium? courtney throws a pillow over her head and starts crying. do you think you're turning me on by having unsafe sex? bateman pulls the pillow off her and slaps her face. oh christ, this really isn't worth it. and see, courtney, it's there for what? huh? tell us. why is it pulled down half an inch? so it can catch the force of the ejaculate! well, it's not a turnon for me. i have a promotion coming to me. i don't want to get aids. bateman grabs her head and makes her look at the condom. see? happy? you dumb bitch? are you happy you dumb bitch? oh god just get it over with. he fucks her quickly until he has a mediocre orgasm and falls down next to her. they lie side by side with their bodies not touching, eyes open, staring at the ceiling."
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",CARRUTHERS,"patrick, thanks so much for looking after courtney. dorsia, how impressive! how on earth did you get a reservation there? lucky, i guess. that's a wonderful jacket. let me guess, valentino couture? uh huh."
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",BATMAN V/O,"it looks so soft. your compliment was sufficient, luis. carruthers is distracted by a question from the colleague on his left. paul owen enters, carrying the wall st. journal under his arm. he is handsome, supremely confident and selfsatisfied he seems himself as a leader among men. hello halberstam. nice tie. how the hell are you? i've been great. and you? their conversation fades down as we hear bateman's thoughts."
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",OWEN,"how's the ransom account going, marcus? it's it's..all right. really? thats interesting, not great? oh well, you know. and how's cecilia? she's a great girl. oh yes. i'm very lucky. mcdermott and price enter. hey owen! congratulations on the fisher account. thank you, baxter. listen, paul. squash?"
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",MCDERMOTT,"how about friday? no can do. got a res at 83.0 at dorsia. great sea urchin ceviche. there is a stunned silence as he walks away and sits in a corner of the room, ostentatiously studying papers. close on bateman's face, cold with hatred. jesus. dorsia? on a friday night? how'd he swing that? i think he's lying. bateman takes, out his wallet and pulls out a card. what's that, a gram? new card. what do you think? mcdermott lifts it up and examines the lettering carefully. whoa. very nice. take a look. he hands it to van patten. picked them up from the printer's yesterday. good coloring. that's bone. and the lettering is something called silian rail."
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",VAN PATTEN,"it is very cool, bateman. but that's nothing. he pulls a card out of his wallet and slaps it on the table. look at this. they all lean forward to inspect it. that's really nice. bateman clenches his fists beneath the table, trying to control his anxiety. eggshell with romalian type. what do you think?"
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",PRICE,"jesus. this is really super. how'd a nitwit like you get so tasteful? bateman stares at his own card and then enviously at mcdermott's. i can't believe that price prefers mcdermott's card to mine. but wait. you ain't seen nothin' yet. he holds up his own card. raised lettering, pale nimbus white..."
AMERICAN_PSYCHO,"INT. CONFERENCE ROOM, PIERCE & PIERCE - DAY",LUIS,"impressive. very nice. let's see paul owen's card. price pulls a card from an inside coat pocket and holds it up for their inspection ""paul owen, pierce pierce, mergers and acquisitions"". bateman swallows, speechless. the sound in the room dies down and all we hear is a faint heartbeat as bateman stares at the magnificent card. look at that subtle offwhite coloring. the tasteful thickness of it. oh my god, it even has a watermark... his hand shaking, bateman lifts up the card and stares at it until fills the screen. he lets it fall. the sound returns to normal. is something wrong? patrick...you're sweating."
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,"hello. pat bateman. the homeless man stares at bateman, struggling to sit up. you want some money? some... food? the homeless man nods arid starts to cry. bateman reaches into his pocket and pulls out a 10 bill, then changes his mind and holds out a 5 instead."
AMERICAN_PSYCHO,EXT. STREET - EVENING,HOMELESS MAN,"is this what you need? the homeless man nods, looks away, wipes his nose. i'm so hungry. it's cold out, too, isn't it? i'm so hungry. why don't you get a job? if you're so hungry, why don't you get a job? i lost my job... why? were you drinking? is that why you lost it? insider trading? just joking. no, really were you drinking on the job? i was fired. i was laid off. gee, uh, that's too bad. im so hungry. the dog starts to whimper. why don't you get another one? why don't you get another job? i'm not... you're not what? qualified for anything else?"
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,"i know that, i know that. jeez, you're like a broken record. i'm trying to help you. i'm hungry. listen, do you think it's fair to take money from people who do have jobs? from people who do work? what am i gonna do? listen, what's your name? al."
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,speak up. come on. al.
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,"get a goddamn job, al. you've got a negative attitude. that's what's stopping you. you've got to get your act together. i'll help you. you're so kind, mister. you're kind. you're a kind man. i can tell. shhhh... it's okay. please... i don't know what to do. i'm so cold."
AMERICAN_PSYCHO,EXT. STREET - EVENING,BATEMAN,"i can't... i can't find a shelter. you reek. you reek of...shit. do you know that? goddammit, al look atme and stop crying like some kind of faggot. al... i'm sorry. bateman carefully puts the money back in his wallet. its just that... i don't know. i don't have anything in common with you. he opens his brief case and pulls out a long thin knife with a serrated edge. he pushes up the sleeve of his jacket to protect it. do you know what a fucking loser you are? homeless man's pov as bateman lunges at him with the knife. extreme wide shot of the street. bateman's shadowed figure is hunched over the homeless man, stabbing him in the stomach. the dog barks wildly and bateman stomps on it until it is silent. low angle shot of bateman as he throws a quarter on the ground. there's a quarter. go buy some gum. bateman walks calmly into the empty caverns of wall street. cars drift past, their headlights momentarily illuminating the body left twitching on the ground."
AMERICAN_PSYCHO,INT. BEAUTY SALON - DAY,BATEMAN V/O,"what beautiful skin you have, mr. bateman. so fine, so smooth... his eyes open to look up at the facialist and then he closes them again. i have all the characteristics of a human being flesh, blood, skin, hair but not a single clear, identifiable emotion except for greed and disgust. something horrible is happening inside me and i don't know why. bateman sitting in a chair, looking down at the manicurist who is giving him a pedicure. she is cutting his nails with tiny sharp scissors. he stares at them longingly. my nightly bloodlust has overflowed into my days. i feel lethal, on the verge of frenzy. bateman lying irradiated by ultra violet light on a tanning bed, wearing goggles. i think my mask of sanity is about to slip."
